ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	COGIDS	MORPHEMES	HANZI
1	Beijing	above	ʂɑŋ⁵¹tʰou⁰	ʂ ɑ ŋ ⁵¹ + tʰ o u ⁰	1	1 3	above head	上頭
667	Guangzhou	above	sœŋ²²pin²²	s œ ŋ ²² + p i n ²²	1	1 4	above side	上便
2075	Chaozhou	above	teŋ⁵³₃₅põĩ⁵⁵	t e ŋ ⁵³₃₅ + p õ ĩ ∼ ⁵⁵	2	2 4	top field	頂畔
2245	Longgang	above	taŋ³³kau³³	t a ŋ ³³ + k a u ³³	8	2 6	top high	囗高
2246	Jieyang	above	teŋ³¹₃₅pãĩ⁵⁵	t e ŋ ³¹₃₅ + p ã ĩ ∼ ⁵⁵	2	2 4	top field	頂畔
2247	Xingning	above	ʂɔŋ⁵⁵pɔɛ⁵³	ʂ ɔ ŋ ⁵⁵ + p ɔ ɛ ⁵³	1	1 4	above back	上背
2902	Xingning	above	hɔŋ⁵³	h ɔ ŋ ⁵³	3	5	above-2	囗
8	Beijing	below, under	ti²¹⁴₂₁ɕia⁰	t i ²¹⁴₂₁ + ɕ i a ⁰	4	7 11	ground below	底下
9	Beijing	below, under	ɕia⁵¹tʰou⁰	ɕ i a ⁵¹ + tʰ o u ⁰	5	11 8	below head	下頭
673	Guangzhou	below, under	ha²²pin²²	h a ²² + p i n ²²	5	11 9	below side	下便
2144	Chaozhou	below, under	e³⁵₁₁põĩ⁵⁵	e ³⁵₁₁ + p õ ĩ ∼ ⁵⁵	5	11 9	below field	下畔
2251	Longgang	below, under	tai³³ha³³	t a i ³³ + h a ³³	4	7 11	ground below	底下
2252	Jieyang	below, under	e³⁵₁₁pãĩ⁵⁵	e ³⁵₁₁ + p ã ĩ ⁵⁵	5	11 9	below field	下畔
2253	Xingning	below, under	ha³³pɔɛ⁵³	h a ³³ + p ɔ ɛ ⁵³	5	11 9	below back	下背
2913	Longgang	below, under	ha³³mɛn⁵⁵	h a ³³ + m ɛ n ⁵⁵	5	11 10	below face	下面
2914	Longgang	below, under	ha³³pɔi⁵⁵	h a ³³ + p ɔ i ⁵⁵	5	11 9	below back	下背
