ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
295	German	I	???ɪx	ɪ x	2	- ɪ x
296	English	I	aɪ	a ɪ	3	a ɪ
297	Danish	I	jɑj	j ɑ j	1	j ɑ j
298	Swedish	I	jaːg	j aː g	2	j aː g
299	Icelandic	I	jɛɣ	j ɛ ɣ	2	j ɛ ɣ
300	Dutch	I	ɪk	ɪ k	2	- ɪ k
301	Norwegian	I	jæj	j æ j	1	j æ j
1	German	all	al	a l	4	a l -
2	English	all	ɔːl,a:l	oː l	4	oː l -
3	Danish	all	æˀl	æˀ l	4	æˀ l -
4	Swedish	all	alː	a lː	4	a lː -
5	Icelandic	all	at͡lir	a t͡l i r	8	a t͡l i r
6	Dutch	all	ɑlə	ɑ l ə	4	ɑ l ə
7	Norwegian	all	ɑlə	ɑ l ə	4	ɑ l ə
8	German	ashes	aʃə	a ʃ ə	9	a ʃ - ə
9	English	ashes	æʃ	æ ʃ	9	æ ʃ - -
10	Danish	ashes	asg	a s g	9	a s g -
11	Swedish	ashes	asːka	a sː k a	9	a sː k a
12	Icelandic	ashes	aska	a s k a	9	a s k a
13	Dutch	ashes	ɑs	ɑ s	9	ɑ s - -
14	Norwegian	ashes	ɑsk	ɑ s k	9	ɑ s k -
#@highlight=TOKENS|ALIGNMENT|SEGMENTS
#@sampa=IPA|TOKENS|SEGMENTS|TRANSCRIPTION
#@pinyin=CHINESE
#@css=menu:show|database:hide
#@basics=COGID|CONCEPT|DOCULECT|IPA|TOKENS
#@_selected_doculects=German|English|Danish|Swedish|Icelandic|Dutch|Norwegian
#@_selected_concepts=I
#@sorted_taxa=German|English|Danish|Swedish|Icelandic|Dutch|Norwegian
#@sorted_concepts=I|all|ashes
#@display=filedisplay
#@missing_marker=Ø
#@separator=	
#@gap_marker=-
#@formatter=COGID
#@root_formatter=false
#@note_formatter=undefined
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=P_alignment-file.tsv
#@navbar=true
#@_morphology_mode=full
