ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS
295	German	I	42	???ɪx	ɪ x
296	English	I	42	aɪ	a ɪ
297	Danish	I	42	jɑj	j ɑ j
298	Swedish	I	42	jaːg	j aː g
299	Icelandic	I	42	jɛɣ	j ɛ ɣ
300	Dutch	I	42	ɪk	ɪ k
301	Norwegian	I	42	jæj	j æ j
1	German	all	1	al	a l
2	English	all	1	ɔːl,a:l	oː l
3	Danish	all	1	æˀl	æˀ l
4	Swedish	all	1	alː	a lː
5	Icelandic	all	1	at͡lir	a t͡l i r
6	Dutch	all	1	ɑlə	ɑ l ə
7	Norwegian	all	1	ɑlə	ɑ l ə
8	German	ashes	2	aʃə	a ʃ ə
9	English	ashes	2	æʃ	æ ʃ
10	Danish	ashes	2	asg	a s g
11	Swedish	ashes	2	asːka	a sː k a
12	Icelandic	ashes	2	aska	a s k a
13	Dutch	ashes	2	ɑs	ɑ s
14	Norwegian	ashes	2	ɑsk	ɑ s k
